epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
49,45.0684,1.48651,2.6608,2.0789,1.55994,0.44784,0.07407,0.05096,0.01458,0.74136,0.03704,0.01218,0.00248,3.0929,7.76911,3.49251,3.91863,0.000662704,0.000662704,0.000662704
50,45.9023,1.11542,2.65933,2.1246,1.39017,0.4397,0.07407,0.05097,0.01242,0.38435,0.03704,0.01311,0.00267,2.93531,7.11684,3.48126,3.56739,0.000669834,0.000669834,0.000669834
51,46.865,1.52089,2.83205,2.27118,1.60246,0.4397,0.07407,0.05097,0.01242,0.38435,0.03704,0.01311,0.00267,2.93531,7.11684,3.48126,3.56739,0.00067,0.00067,0.00067
52,47.7093,1.26871,2.36846,2.02683,1.5302,0.47481,0.07407,0.06697,0.02258,0.39541,0.03704,0.01845,0.00286,2.85098,6.72817,3.39266,3.49879,0.0006634,0.0006634,0.0006634
53,48.5216,1.40595,2.53615,2.19633,1.55419,0.47481,0.07407,0.06697,0.02258,0.39541,0.03704,0.01845,0.00286,2.85098,6.72817,3.39266,3.49879,0.0006568,0.0006568,0.0006568
54,49.3592,1.57452,3.01479,2.55242,1.77252,0.41651,0.11111,0.05819,0.0243,0.35894,0.03704,0.01536,0.00413,2.78779,6.63594,3.43962,3.35059,0.0006502,0.0006502,0.0006502
55,50.2075,1.41722,2.56871,2.04805,1.59626,0.41651,0.11111,0.05819,0.0243,0.35894,0.03704,0.01536,0.00413,2.78779,6.63594,3.43962,3.35059,0.0006436,0.0006436,0.0006436
56,51.0355,1.34231,2.62697,2.17326,1.6205,0.42685,0.11111,0.05175,0.01746,0.38807,0.03704,0.0183,0.00554,2.6279,6.32902,3.45182,3.09491,0.000637,0.000637,0.000637
57,51.88,1.40862,2.5654,1.96168,1.56073,0.42685,0.11111,0.05175,0.01746,0.38807,0.03704,0.0183,0.00554,2.6279,6.32902,3.45182,3.09491,0.0006304,0.0006304,0.0006304
58,52.7577,1.67407,2.56554,2.6531,1.71792,0.79494,0.07033,0.05997,0.0203,0.01382,0.11111,0.02102,0.00645,2.55697,6.28076,3.39865,3.05502,0.0006238,0.0006238,0.0006238
59,53.589,1.34467,2.54116,2.25593,1.63058,0.79494,0.07033,0.05997,0.0203,0.01382,0.11111,0.02102,0.00645,2.55697,6.28076,3.39865,3.05502,0.0006172,0.0006172,0.0006172
60,54.5082,1.38583,2.75261,2.16371,1.58601,0.78218,0.14815,0.06893,0.02099,0.71674,0.07407,0.02586,0.00652,2.64461,6.35773,3.30815,3.43922,0.0006106,0.0006106,0.0006106
61,55.353,1.26989,2.65776,2.03111,1.58169,0.78218,0.14815,0.06893,0.02099,0.71674,0.07407,0.02586,0.00652,2.64461,6.35773,3.30815,3.43922,0.000604,0.000604,0.000604
62,56.2595,1.29016,2.33298,2.14843,1.48113,0.76267,0.07407,0.05134,0.01611,0.70929,0.03704,0.01899,0.00514,2.73681,6.23995,3.43037,3.52739,0.0005974,0.0005974,0.0005974
63,57.3649,1.09791,2.2269,1.66805,1.37532,0.76267,0.07407,0.05134,0.01611,0.70929,0.03704,0.01899,0.00514,2.73681,6.23995,3.43037,3.52739,0.0005908,0.0005908,0.0005908
64,58.2717,1.33286,3.03532,2.16486,1.5456,0.71266,0.07407,0.05574,0.02154,0.68883,0.03704,0.007,0.00215,2.75549,6.50387,3.57416,3.54027,0.0005842,0.0005842,0.0005842
65,59.0934,1.54146,2.69611,2.25891,1.76099,0.71266,0.07407,0.05574,0.02154,0.68883,0.03704,0.007,0.00215,2.75549,6.50387,3.57416,3.54027,0.0005776,0.0005776,0.0005776
66,59.9321,1.49935,2.52537,2.15495,1.69807,0.70716,0.07407,0.02257,0.00872,0.68666,0.03704,0.00571,0.00175,2.67235,6.94721,3.62715,3.29467,0.000571,0.000571,0.000571
67,60.7926,1.44513,2.44441,2.10617,1.6957,0.70716,0.07407,0.02257,0.00872,0.68666,0.03704,0.00571,0.00175,2.67235,6.94721,3.62715,3.29467,0.0005644,0.0005644,0.0005644
68,61.697,1.13494,2.13556,1.78486,1.34887,0.38688,0.07407,0.02367,0.00787,0.36011,0.03704,0.00519,0.00157,2.77674,7.09948,3.63376,3.33551,0.0005578,0.0005578,0.0005578
